 26-02-18,16:43:41,Ch6,VMIX OVL,VDIF OVL
 26-02-18,17:08:43,Ch1,VDIF OVL
 26-02-18,21:13:55,Ch6,T. OVER
 26-02-18,21:14:55,Ch6,T. OVER
 26-02-18,21:16:55,Ch6,T. OVER
 26-02-18,21:17:55,Ch6,T. OVER
 26-02-18,21:18:55,Ch6,T. OVER
 26-02-18,21:19:55,Ch6,T. OVER
 26-02-18,21:20:55,Ch6,T. OVER
 26-02-18,21:21:55,Ch6,T. OVER
 26-02-18,21:22:55,Ch6,T. OVER
 26-02-18,21:23:55,Ch6,T. OVER
 26-02-18,21:24:55,Ch6,T. OVER
 26-02-18,21:25:55,Ch6,T. OVER
 26-02-18,21:26:55,Ch6,T. OVER
 26-02-18,21:27:55,Ch6,T. OVER
 26-02-18,21:28:55,Ch6,T. OVER
 26-02-18,21:29:56,Ch6,T. OVER
 26-02-18,21:30:56,Ch6,T. OVER
 26-02-18,21:31:56,Ch6,T. OVER
 26-02-18,21:32:56,Ch6,T. OVER
 26-02-18,21:33:56,Ch6,T. OVER
 26-02-18,21:34:56,Ch6,T. OVER
 26-02-18,21:35:56,Ch6,T. OVER
 26-02-18,21:36:56,Ch6,T. OVER
 26-02-18,21:37:56,Ch6,T. OVER
 26-02-18,21:38:56,Ch6,T. OVER
 26-02-18,21:39:56,Ch6,T. OVER
 26-02-18,21:40:57,Ch6,T. OVER
 26-02-18,21:41:57,Ch6,T. OVER
 26-02-18,21:42:57,Ch6,T. OVER
 26-02-18,21:43:57,Ch6,T. OVER
 26-02-18,21:44:57,Ch6,T. OVER
 26-02-18,21:45:57,Ch6,T. OVER
 26-02-18,21:46:57,Ch6,T. OVER
 26-02-18,21:47:57,Ch6,T. OVER
 26-02-18,21:48:58,Ch6,T. OVER
 26-02-18,21:49:58,Ch6,T. OVER
 26-02-18,21:50:58,Ch6,T. OVER
 26-02-18,21:51:58,Ch6,T. OVER
 26-02-18,21:52:58,Ch6,T. OVER
 26-02-18,21:53:58,Ch6,T. OVER
 26-02-18,21:54:58,Ch6,T. OVER
 26-02-18,21:55:58,Ch6,T. OVER
 26-02-18,21:56:58,Ch6,T. OVER
 26-02-18,21:57:58,Ch6,T. OVER
 26-02-18,21:58:58,Ch6,T. OVER
 26-02-18,21:59:58,Ch6,T. OVER
 26-02-18,22:00:58,Ch6,T. OVER
 26-02-18,22:01:59,Ch6,T. OVER
 26-02-18,22:02:59,Ch6,T. OVER
 26-02-18,22:03:59,Ch6,T. OVER
 26-02-18,22:04:59,Ch6,T. OVER
 26-02-18,22:05:59,Ch6,T. OVER
 26-02-18,22:06:59,Ch6,T. OVER
 26-02-18,22:07:59,Ch6,T. OVER
 26-02-18,22:08:59,Ch6,T. OVER
 26-02-18,22:09:59,Ch6,T. OVER
 26-02-18,22:10:59,Ch6,T. OVER
 26-02-18,22:11:59,Ch6,T. OVER
 26-02-18,22:12:59,Ch6,T. OVER
 26-02-18,22:13:59,Ch6,T. OVER
 26-02-18,22:14:59,Ch6,T. OVER
 26-02-18,22:15:59,Ch6,T. OVER
 26-02-18,22:16:59,Ch6,T. OVER
 26-02-18,22:17:59,Ch6,T. OVER
 26-02-18,22:18:59,Ch6,T. OVER
 26-02-18,22:19:59,Ch6,T. OVER
 26-02-18,22:21:00,Ch6,T. OVER
 26-02-18,22:22:00,Ch6,T. OVER
 26-02-18,22:23:00,Ch6,T. OVER
 26-02-18,22:24:00,Ch6,T. OVER
 26-02-18,22:25:00,Ch6,T. OVER
 26-02-18,22:26:00,Ch6,T. OVER
 26-02-18,22:27:00,Ch6,T. OVER
 26-02-18,22:28:00,Ch6,T. OVER
 26-02-18,22:29:00,Ch6,T. OVER
 26-02-18,22:30:00,Ch6,T. OVER
 26-02-18,22:31:00,Ch6,T. OVER
 26-02-18,22:32:00,Ch6,T. OVER
 26-02-18,22:33:00,Ch6,T. OVER
 26-02-18,22:34:00,Ch6,T. OVER
 26-02-18,22:35:00,Ch6,T. OVER
 26-02-18,22:36:00,Ch6,T. OVER
 26-02-18,22:37:00,Ch6,T. OVER
 26-02-18,22:38:00,Ch6,T. OVER
 26-02-18,22:39:01,Ch6,T. OVER
 26-02-18,22:40:01,Ch6,T. OVER
 26-02-18,22:41:01,Ch6,T. OVER
 26-02-18,22:42:01,Ch6,T. OVER
 26-02-18,22:43:01,Ch6,T. OVER
 26-02-18,22:44:01,Ch6,T. OVER
 26-02-18,22:45:01,Ch6,T. OVER
 26-02-18,22:46:01,Ch6,T. OVER
 26-02-18,22:47:01,Ch6,T. OVER
 26-02-18,22:48:01,Ch6,T. OVER
 26-02-18,22:49:01,Ch6,T. OVER
 26-02-18,22:50:01,Ch6,T. OVER
 26-02-18,22:51:02,Ch6,T. OVER
 26-02-18,22:52:02,Ch6,T. OVER
 26-02-18,22:53:02,Ch6,T. OVER
 26-02-18,22:54:02,Ch6,T. OVER
 26-02-18,22:55:02,Ch6,T. OVER
 26-02-18,22:56:02,Ch6,T. OVER
 26-02-18,22:57:02,Ch6,T. OVER
 26-02-18,22:58:02,Ch6,T. OVER
 26-02-18,22:59:02,Ch6,T. OVER
 26-02-18,23:00:02,Ch6,T. OVER
 26-02-18,23:01:02,Ch6,T. OVER
 26-02-18,23:02:02,Ch6,T. OVER
 26-02-18,23:03:02,Ch6,T. OVER
 26-02-18,23:04:02,Ch6,T. OVER
 26-02-18,23:05:02,Ch6,T. OVER
 26-02-18,23:06:02,Ch6,T. OVER
 26-02-18,23:07:02,Ch6,T. OVER
 26-02-18,23:08:02,Ch6,T. OVER
 26-02-18,23:09:02,Ch6,T. OVER
 26-02-18,23:10:02,Ch6,T. OVER
 26-02-18,23:11:02,Ch6,T. OVER
 26-02-18,23:12:02,Ch6,T. OVER
 26-02-18,23:13:02,Ch6,T. OVER
 26-02-18,23:14:02,Ch6,T. OVER
 26-02-18,23:15:02,Ch6,T. OVER
 26-02-18,23:16:02,Ch6,T. OVER
 26-02-18,23:17:02,Ch6,T. OVER
 26-02-18,23:18:03,Ch6,T. OVER
 26-02-18,23:19:03,Ch6,T. OVER
 26-02-18,23:20:03,Ch6,T. OVER
 26-02-18,23:21:03,Ch6,T. OVER
 26-02-18,23:22:03,Ch6,T. OVER
 26-02-18,23:23:03,Ch6,T. OVER
 26-02-18,23:24:03,Ch6,T. OVER
 26-02-18,23:25:03,Ch6,T. OVER
 26-02-18,23:26:03,Ch6,T. OVER
 26-02-18,23:27:03,Ch6,T. OVER
 26-02-18,23:28:03,Ch6,T. OVER
 26-02-18,23:29:03,Ch6,T. OVER
 26-02-18,23:30:03,Ch6,T. OVER
 26-02-18,23:31:03,Ch6,T. OVER
 26-02-18,23:32:03,Ch6,T. OVER
 26-02-18,23:33:03,Ch6,T. OVER
 26-02-18,23:34:03,Ch6,T. OVER
 26-02-18,23:35:03,Ch6,T. OVER
 26-02-18,23:36:03,Ch6,T. OVER
 26-02-18,23:37:03,Ch6,T. OVER
 26-02-18,23:38:03,Ch6,T. OVER
 26-02-18,23:39:03,Ch6,T. OVER
 26-02-18,23:40:03,Ch6,T. OVER
 26-02-18,23:41:03,Ch6,T. OVER
 26-02-18,23:42:03,Ch6,T. OVER
 26-02-18,23:43:03,Ch6,T. OVER
 26-02-18,23:44:03,Ch6,T. OVER
 26-02-18,23:45:03,Ch6,T. OVER
 26-02-18,23:46:03,Ch6,T. OVER
 26-02-18,23:47:03,Ch6,T. OVER
 26-02-18,23:48:04,Ch6,T. OVER
 26-02-18,23:49:04,Ch6,T. OVER
 26-02-18,23:50:04,Ch6,T. OVER
 26-02-18,23:51:04,Ch6,T. OVER
 26-02-18,23:52:04,Ch6,T. OVER
 26-02-18,23:53:04,Ch6,T. OVER
 26-02-18,23:54:04,Ch6,T. OVER
 26-02-18,23:55:04,Ch6,T. OVER
 26-02-18,23:56:04,Ch6,T. OVER
 26-02-18,23:57:04,Ch6,T. OVER
 26-02-18,23:58:04,Ch6,T. OVER
 26-02-18,23:59:05,Ch6,T. OVER
