 25-12-18,11:51:16,Ch6,VMIX OVL
 25-12-18,19:35:33,Ch1,VDIF OVL
 25-12-18,19:37:33,Ch1,VDIF OVL
 25-12-18,19:39:33,Ch1,VDIF OVL
 25-12-18,19:41:33,Ch1,VDIF OVL
 25-12-18,19:43:33,Ch1,VDIF OVL
 25-12-18,19:45:33,Ch1,VDIF OVL
 25-12-18,19:47:33,Ch1,VDIF OVL
 25-12-18,19:51:33,Ch1,VDIF OVL
 25-12-18,19:53:33,Ch1,VDIF OVL
 25-12-18,19:55:33,Ch1,VDIF OVL
 25-12-18,19:57:33,Ch1,VDIF OVL
 25-12-18,19:59:33,Ch1,VDIF OVL
 25-12-18,20:03:33,Ch1,VDIF OVL
 25-12-18,20:05:33,Ch1,VDIF OVL
 25-12-18,20:07:33,Ch1,VDIF OVL
 25-12-18,20:11:33,Ch1,VDIF OVL
 25-12-18,20:13:34,Ch1,VDIF OVL
 25-12-18,20:15:34,Ch1,VDIF OVL
 25-12-18,20:17:34,Ch1,VDIF OVL
 25-12-18,20:18:34,Ch5,VDIF OVL
 25-12-18,20:19:34,Ch1,VDIF OVL
 25-12-18,20:21:34,Ch1,VDIF OVL
 25-12-18,20:23:34,Ch1,VDIF OVL
 25-12-18,20:25:34,Ch1,VDIF OVL
 25-12-18,20:27:34,Ch1,VDIF OVL
