,1Kpot RuO2,He3 AB,He3 RuO2,Sorb AB,Time_1Kpot RuO2,Time_He3 AB,Time_He3 RuO2,Time_Sorb AB,Time_helium level,Time_helium_count,Time_helium_flow (l),helium level,helium_count,helium_flow (l)
0,25.982969,0.0,25.946751,284.25,2019-06-04 12:50:48,2019-06-04 00:00:01,2019-06-04 15:04:01,2019-06-04 00:00:00,2019-06-04 00:00:07,2019-06-04 12:24:36,2019-06-04 00:00:04,116.0,190.0,0.0874423217
1,25.972975,0.0,25.95602,284.3,2019-06-04 12:50:50,2019-06-04 00:00:04,2019-06-04 15:04:02,2019-06-04 00:00:03,2019-06-04 00:00:10,2019-06-04 12:24:41,2019-06-04 00:00:09,116.0,200.0,0.0874423217
2,25.955383,0.0,25.959929,284.15,2019-06-04 12:50:52,2019-06-04 00:00:06,2019-06-04 15:04:03,2019-06-04 00:00:05,2019-06-04 00:00:13,2019-06-04 12:24:46,2019-06-04 00:00:14,116.0,210.0,0.0874423217
3,25.934181,0.0,25.958925,284.3,2019-06-04 12:50:54,2019-06-04 00:00:09,2019-06-04 15:04:04,2019-06-04 00:00:07,2019-06-04 00:00:24,2019-06-04 12:24:51,2019-06-04 00:00:19,116.0,230.0,0.0874423217
4,25.90638,0.0,25.954817,284.27,2019-06-04 12:50:56,2019-06-04 00:00:11,2019-06-04 15:04:05,2019-06-04 00:00:10,2019-06-04 00:00:28,2019-06-04 12:24:56,2019-06-04 00:00:24,116.0,240.0,0.0874423217
5,25.877592,0.0,25.947889,284.23,2019-06-04 12:50:58,2019-06-04 00:00:13,2019-06-04 15:04:07,2019-06-04 00:00:12,2019-06-04 00:00:31,2019-06-04 12:25:01,2019-06-04 00:00:29,116.0,250.0,0.0874423217
6,25.849012,0.0,25.940052,284.19,2019-06-04 12:51:00,2019-06-04 00:00:16,2019-06-04 15:04:08,2019-06-04 00:00:15,2019-06-04 00:00:42,2019-06-04 12:25:06,2019-06-04 00:00:34,116.0,270.0,0.0874423217
7,25.81986,0.0,25.930128,284.12,2019-06-04 12:51:02,2019-06-04 00:00:18,2019-06-04 15:04:09,2019-06-04 00:00:17,2019-06-04 00:00:49,2019-06-04 12:25:11,2019-06-04 00:00:39,116.0,280.0,0.0874423217
8,25.791325,0.0,25.920149,284.2,2019-06-04 12:51:05,2019-06-04 00:00:21,2019-06-04 15:04:10,2019-06-04 00:00:20,2019-06-04 00:00:55,2019-06-04 12:25:16,2019-06-04 00:00:44,116.0,298.2000000000007,0.0874423217
9,25.761997,0.0,25.908173,284.23,2019-06-04 12:51:07,2019-06-04 00:00:23,2019-06-04 15:04:11,2019-06-04 00:00:22,2019-06-04 00:00:59,2019-06-04 12:25:21,2019-06-04 00:00:49,116.0,310.0,0.0874423217
10,25.732525,0.0,25.896671,284.15,2019-06-04 12:51:09,2019-06-04 00:00:26,2019-06-04 15:04:12,2019-06-04 00:00:25,2019-06-04 00:01:06,2019-06-04 12:25:26,2019-06-04 00:00:54,116.0,320.0,0.0874423217
11,25.700409,0.0,25.883772,284.25,2019-06-04 12:51:11,2019-06-04 00:00:28,2019-06-04 15:04:13,2019-06-04 00:00:27,2019-06-04 00:01:11,2019-06-04 12:25:31,2019-06-04 00:00:59,116.0,340.0,0.0874423217
